paper_id,day,title,authors_short,task_cluster,modality,method_family,relevance_tier,keyword_hits,paper_page,pdf
7,2026-06-05,"Training-free, Perceptually Consistent Low-Resolution Previews with High-Resolution Image for Efficient Workflows of Diffusion Models","Wongi Jeong, Hoigi Seo, Se Young Chun",效率、训练与压缩,3D/多视图,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Jeong_Training-free_Perceptually_Consistent_Low-Resolution_Previews_with_High-Resolution_Image_for_Efficient_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jeong_Training-free_Perceptually_Consistent_Low-Resolution_Previews_with_High-Resolution_Image_for_Efficient_CVPR_2026_paper.pdf
13,2026-06-05,Erasing Thousands of Concepts: Towards Scalable and Practical Concept Erasure for Text-to-Image Diffusion Models,"Hoigi Seo, Byung Hyun Lee, Jaehyun Cho et al.",对齐、安全与可控生成,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Seo_Erasing_Thousands_of_Concepts_Towards_Scalable_and_Practical_Concept_Erasure_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Seo_Erasing_Thousands_of_Concepts_Towards_Scalable_and_Practical_Concept_Erasure_CVPR_2026_paper.pdf
19,2026-06-05,Ultra Diffusion Poser: Diffusion-Based Human Motion Tracking from Sparse Inertial Sensors and Ranging-based Between-sensor Distances,"Dominik Hollidt, Tommaso Bendinelli, Christian Holz",人体、运动与虚拟人,人体/运动,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Hollidt_Ultra_Diffusion_Poser_Diffusion-Based_Human_Motion_Tracking_from_Sparse_Inertial_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Hollidt_Ultra_Diffusion_Poser_Diffusion-Based_Human_Motion_Tracking_from_Sparse_Inertial_CVPR_2026_paper.pdf
35,2026-06-05,Taming Preference Mode Collapse via Directional Decoupling Alignment in Diffusion Reinforcement Learning,"Chubin Chen, Sujie Hu, Jiashu Zhu et al.",对齐、安全与可控生成,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_Taming_Preference_Mode_Collapse_via_Directional_Decoupling_Alignment_in_Diffusion_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Taming_Preference_Mode_Collapse_via_Directional_Decoupling_Alignment_in_Diffusion_CVPR_2026_paper.pdf
51,2026-06-05,VLM-Guided Group Preference Alignment for Diffusion-based Human Mesh Recovery,"Wenhao Shen, Hao Wang, Wanqi Yin et al.",对齐、安全与可控生成,3D/多视图,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Shen_VLM-Guided_Group_Preference_Alignment_for_Diffusion-based_Human_Mesh_Recovery_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Shen_VLM-Guided_Group_Preference_Alignment_for_Diffusion-based_Human_Mesh_Recovery_CVPR_2026_paper.pdf
55,2026-06-05,AnyLift: Scaling Motion Reconstruction from Internet Videos via 2D Diffusion,"Hongjie Li, Heng Yu, Jiaman Li et al.",视频、音频与时序生成,人体/运动,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Li_AnyLift_Scaling_Motion_Reconstruction_from_Internet_Videos_via_2D_Diffusion_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_AnyLift_Scaling_Motion_Reconstruction_from_Internet_Videos_via_2D_Diffusion_CVPR_2026_paper.pdf
56,2026-06-05,Accelerating Diffusion via Hybrid Data-Pipeline Parallelism Based on Conditional Guidance Scheduling,"Euisoo Jung, Byunghyun Kim, Hyunjin Kim et al.",效率、训练与压缩,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Jung_Accelerating_Diffusion_via_Hybrid_Data-Pipeline_Parallelism_Based_on_Conditional_Guidance_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jung_Accelerating_Diffusion_via_Hybrid_Data-Pipeline_Parallelism_Based_on_Conditional_Guidance_CVPR_2026_paper.pdf
59,2026-06-05,StreamAvatar: Streaming Diffusion Models for Real-Time Interactive Human Avatars,"Zhiyao Sun, Ziqiao Peng, Yifeng Ma et al.",效率、训练与压缩,人体/运动,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Sun_StreamAvatar_Streaming_Diffusion_Models_for_Real-Time_Interactive_Human_Avatars_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Sun_StreamAvatar_Streaming_Diffusion_Models_for_Real-Time_Interactive_Human_Avatars_CVPR_2026_paper.pdf
106,2026-06-05,LLaDA-V: Large Language Diffusion Models with Visual Instruction Tuning,"Zebin You, Shen Nie, Xiaolu Zhang et al.",多模态、VLM 与语言桥接,多模态/VLM,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/You_LLaDA-V_Large_Language_Diffusion_Models_with_Visual_Instruction_Tuning_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/You_LLaDA-V_Large_Language_Diffusion_Models_with_Visual_Instruction_Tuning_CVPR_2026_paper.pdf
111,2026-06-05,When Local Rules Create Global Order: Self-Organized Representation Learning for Latent Diffusion Models,"Junrong Lian, Weijian Deng, Pengxu Wei et al.",图像恢复、低层视觉与逆问题,图像,Latent Diffusion,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Lian_When_Local_Rules_Create_Global_Order_Self-Organized_Representation_Learning_for_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lian_When_Local_Rules_Create_Global_Order_Self-Organized_Representation_Learning_for_CVPR_2026_paper.pdf
